Storage Results,,,,,,,,,,,,,,,,,,,,,,
Context Model,Query Table,QueryJob Table,,,,,,,,,,,,,,,,,,,,
Testcase 10,,,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1529,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1530,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1530,113,,,,,,,,,,,,,,,,,,,,
1043,1529,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1530,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1527,113,,,,,,,,,,,,,,,,,,,,
1043,1527,113,,,,,,,,,,,,,,,,,,,,
1043,1527,113,,,,,,,,,,,,,,,,,,,,
1043,1527,113,,,,,,,,,,,,,,,,,,,,
1043,1526,113,,,,,,,,,,,,,,,,,,,,
1043,1527,113,,,,,,,,,,,,,,,,,,,,
1043,1527,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1530,113,,,,,,,,,,,,,,,,,,,,
1043,1530,113,,,,,,,,,,,,,,,,,,,,
1043,1527,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
Testcase 2,,,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1530,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1530,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1530,113,,,,,,,,,,,,,,,,,,,,
1043,1530,113,,,,,,,,,,,,,,,,,,,,
1043,1527,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1530,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1530,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1530,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1530,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1530,113,,,,,,,,,,,,,,,,,,,,
1043,1530,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1530,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
Testcase 12,,,,,,,,,,,,,,,,,,,,,,
1043,1525,113,,,,,,,,,,,,,,,,,,,,
1043,1524,113,,,,,,,,,,,,,,,,,,,,
1043,1525,113,,,,,,,,,,,,,,,,,,,,
1043,1525,113,,,,,,,,,,,,,,,,,,,,
1043,1525,113,,,,,,,,,,,,,,,,,,,,
1043,1525,113,,,,,,,,,,,,,,,,,,,,
1043,1525,113,,,,,,,,,,,,,,,,,,,,
1043,1524,113,,,,,,,,,,,,,,,,,,,,
1043,1525,113,,,,,,,,,,,,,,,,,,,,
1043,1524,113,,,,,,,,,,,,,,,,,,,,
